X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1395,47,-179,4.9,-60.9,-100.2,-201,-584,134,1
-1712,188,-184,-4.4,-91.7,-140.7,-164,-607,116,1
-1998,301,-704,104.7,-120.4,-175.9,-93,-620,83,1
-1990,942,320,6.0,-106.4,-197.5,-14,-622,36,1
-676,-717,-130,-55.5,-42.9,-150.3,63,-660,74,1
-188,453,-655,268.5,44.7,42.7,66,-631,43,1
47,696,-43,49.2,126.4,110.3,14,-596,-22,1
-526,-17,-115,25.1,166.7,229.2,-77,-584,1,1
-905,510,99,-21.2,201.8,287.0,-178,-548,25,1
-1998,-84,-139,-122.9,203.5,324.1,-281,-489,96,1
-1998,-1064,231,-141.8,158.9,272.1,-358,-413,158,1
-1818,-1998,436,-63.0,82.3,73.9,-381,-355,222,1
-1163,95,-231,-77.3,-81.6,-184.0,-372,-375,211,1
-1694,-766,-473,-292.8,-54.6,-246.7,-348,-435,195,1
-988,-1103,-314,69.1,-54.8,-135.5,-310,-500,199,1
-814,606,317,35.1,-12.2,-65.2,-283,-529,159,1
-1075,-609,-250,-2.3,0.1,-33.6,-280,-534,167,1
-951,130,10,52.2,-4.4,-11.4,-273,-540,143,1
-1016,-254,-130,2.0,-2.2,-21.7,-261,-536,155,1
-965,58,-116,41.0,-4.2,-30.8,-257,-538,148,1
-1187,-251,-164,6.3,-22.7,-56.2,-240,-553,137,1
-1314,98,-273,21.0,-49.9,-83.7,-222,-568,111,1
-1596,225,86,5.9,-79.3,-124.5,-181,-593,100,1
-1908,43,-366,56.9,-113.7,-169.1,-121,-613,74,1
-1998,1354,-407,111.0,-91.8,-194.6,-41,-612,31,1
-1041,-542,-311,-147.0,-66.9,-180.9,37,-638,56,1
-152,-263,-1038,156.2,31.9,-23.9,69,-636,42,1
81,1097,180,172.9,81.9,103.9,28,-584,-21,1
-456,17,-276,-45.6,147.7,188.2,-48,-583,0,1
-694,217,-45,12.6,173.1,266.1,-150,-557,12,1
-1810,233,-104,-73.9,211.0,316.3,-261,-501,62,1
-1998,-982,-42,-113.1,179.6,288.4,-337,-421,134,1
-1959,-1998,454,-157.2,112.0,149.9,-371,-354,203,1
-1610,-1219,636,2.5,-27.2,-119.1,-372,-350,217,1
-1980,1665,1837,43.6,-99.6,-157.0,-363,-401,192,1
-281,-1858,-213,-107.6,-37.5,-158.5,-319,-476,200,1
-1220,4,267,187.3,-46.6,-81.9,-291,-512,165,1
-966,4,-67,-58.7,-0.9,-57.0,-280,-523,153,1
-935,-428,-320,72.7,-5.8,-8.6,-274,-535,148,1
-1028,249,41,3.2,-3.4,-22.4,-270,-534,136,1
-955,-158,-89,35.0,-4.1,-28.7,-260,-540,142,1
-1123,-113,-96,5.8,-14.7,-52.0,-255,-547,121,1
-1148,56,-183,35.4,-37.1,-70.2,-231,-561,113,1
-1384,3,-63,5.3,-65.7,-105.4,-191,-582,98,1
-1662,54,-277,0.5,-94.4,-144.4,-143,-607,96,1
