X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1749,905,-663,134.6,-22.5,-93.5,-391,-222,311,2
-1862,706,-394,-186.1,-92.8,-212.4,-388,-275,308,2
-1998,-336,-914,0.1,-92.3,-330.3,-372,-369,275,2
-1176,1680,-658,392.8,-70.9,-171.0,-345,-446,205,2
-33,792,-364,-129.2,28.2,69.5,-337,-460,185,2
47,-396,-469,-98.1,114.5,286.7,-367,-407,223,2
-496,183,-304,92.4,185.3,435.5,-385,-278,284,2
-1998,111,586,-65.3,260.4,437.7,-349,-132,367,2
-1998,-1998,440,-198.3,137.1,288.4,-244,16,409,2
-346,-1998,1037,-116.0,-22.6,-31.9,-237,30,378,2
-1969,-1998,1111,-100.9,-94.6,-451.9,-321,-27,367,2
-1423,615,1095,-34.1,-84.4,-228.5,-348,-123,377,2
-1207,-402,68,59.1,-49.4,-89.3,-365,-178,360,2
-1998,432,235,-30.4,-67.0,-69.2,-379,-195,338,2
-1970,1104,-642,117.2,-41.1,-89.6,-381,-223,306,2
-1946,473,-633,-184.1,-92.4,-243.6,-395,-279,292,2
-1998,-208,-1059,36.1,-94.9,-326.9,-365,-389,257,2
-1829,1730,-716,334.7,-70.0,-146.5,-343,-452,195,2
263,737,-439,-119.5,31.2,61.8,-333,-453,205,2
-14,-416,-470,-115.9,139.3,328.7,-370,-381,254,2
-605,215,-363,69.4,210.0,442.6,-383,-241,309,2
-1998,-559,849,-92.4,241.7,426.7,-326,-97,397,2
-1916,-1998,1182,-119.7,88.6,204.1,-230,20,403,2
-395,-1998,90,-171.8,-17.6,-74.7,-240,44,375,2
989,-810,56,720.0,-57.7,-224.3,-308,-25,364,2
-1331,-1617,-19,-117.6,-82.5,-242.5,-357,-120,361,2
-1475,-247,255,30.8,-51.4,-75.6,-375,-171,345,2
-1998,401,5,1.8,-45.7,-59.0,-378,-191,320,2
-1925,1510,-604,125.0,-39.9,-92.2,-388,-219,312,2
-1802,-371,-585,-155.4,-104.9,-284.6,-392,-277,290,2
-1985,613,-1316,241.2,-78.8,-259.8,-369,-386,245,2
-1985,1997,-764,192.9,-46.2,-99.0,-345,-448,174,2
186,231,-443,-188.0,34.7,121.4,-348,-447,188,2
-75,-575,-552,-95.0,109.4,338.7,-394,-348,260,2
-806,306,-364,87.3,182.7,467.9,-382,-186,310,2
-1998,-455,867,-191.1,239.1,401.0,-301,-24,385,2
-1909,-1998,1154,-12.8,52.8,112.0,-231,43,379,2
-868,-1998,-503,-207.0,-12.8,-195.9,-259,49,343,2
1300,1585,-295,485.8,-67.7,-271.8,-337,-68,366,2
-406,-1820,-387,-46.4,-62.3,-209.7,-384,-130,341,2
-1779,-286,217,7.4,-59.9,-70.2,-386,-163,333,2
-1998,428,-94,-28.5,-51.5,-63.0,-394,-186,301,2
-1970,1520,-506,167.6,-34.0,-92.8,-399,-225,309,2
-1830,-51,-507,-134.6,-107.3,-291.4,-393,-299,276,2
-1998,95,-1281,249.0,-75.7,-256.1,-367,-402,239,2
-1359,1844,-870,95.6,-35.0,-89.1,-342,-446,170,2
289,6,-329,-167.9,65.8,131.7,-349,-440,196,2
-174,-366,-383,-16.0,146.1,347.9,-388,-357,253,2
-1011,590,-192,57.9,229.6,448.1,-386,-207,330,2
-1998,-720,1001,-125.3,250.6,423.5,-313,-57,401,2
-1759,-1998,1266,-54.1,71.4,105.3,-240,40,387,2
-1032,-1998,218,-259.9,17.1,-211.0,-244,45,349,2
1604,1967,-352,435.2,-90.3,-302.7,-322,-47,369,2
-346,-1700,-517,-6.0,-60.6,-186.7,-366,-128,343,2
-1914,-470,287,-15.7,-63.0,-70.4,-384,-166,325,2
-1988,471,-244,-17.7,-46.8,-62.7,-389,-190,310,2
-1858,1881,-276,137.3,-43.9,-92.5,-386,-229,301,2
-1915,-359,-562,-164.9,-102.6,-297.5,-386,-295,260,2
-1941,715,-1401,363.6,-77.5,-227.8,-367,-424,218,2
-1967,1997,-699,1.6,-20.4,-63.0,-332,-455,168,2
317,-177,-380,-175.7,88.4,174.4,-355,-434,214,2
-271,-380,-445,-21.1,155.5,376.6,-396,-315,264,2
-1433,411,-190,37.5,246.4,471.8,-374,-161,351,2
-1998,-1685,945,-149.5,254.1,392.6,-285,-18,408,2
-1502,-1998,1726,-23.8,45.9,115.5,-225,38,409,2
-1130,-1998,-1633,-260.1,5.8,-220.2,-264,42,351,2
1008,1930,-212,208.0,-111.6,-270.7,-331,-78,380,2
-369,-1467,-369,89.8,-48.5,-147.2,-369,-144,346,2
-1998,-316,140,-29.5,-73.5,-60.6,-380,-181,340,2
-1930,332,-258,13.2,-37.7,-75.5,-392,-209,315,2
-1852,1776,67,133.0,-41.5,-93.9,-389,-250,300,2
-1750,-438,-627,-142.1,-105.0,-280.1,-392,-312,270,2
-1952,702,-1320,274.6,-80.0,-243.1,-360,-419,214,2
-1893,1926,-809,94.7,-37.1,-91.7,-341,-447,169,2
81,-20,-260,-130.6,89.2,161.9,-351,-441,194,2
-51,-425,-429,30.4,174.5,374.8,-386,-349,254,2
-1528,693,-57,56.7,272.3,463.4,-384,-196,334,2
-1998,-1646,1348,-272.2,250.8,377.2,-301,-44,406,2
-1286,-1998,1386,-80.5,29.1,114.5,-235,48,386,2
-860,-1998,-362,-66.2,-4.6,-105.3,-234,63,364,2
1996,-1013,-676,514.8,-71.6,-220.7,-314,-10,350,2
-1566,-1397,-443,-67.7,-71.3,-245.4,-367,-105,344,2
-1318,-515,-8,15.6,-52.6,-70.1,-381,-156,333,2
-1998,331,-42,-19.5,-43.1,-70.4,-389,-189,323,2
-1985,1316,-527,164.6,-27.7,-107.0,-393,-234,312,2
-1949,145,-526,-139.3,-90.2,-279.0,-397,-306,278,2
-1683,96,-1132,148.0,-59.8,-268.3,-372,-408,259,2
-1980,1997,-626,242.8,-39.2,-79.1,-345,-450,197,2
158,257,-234,-192.5,46.9,129.1,-357,-426,234,2
-149,-647,-427,-71.9,126.9,367.6,-396,-323,284,2
-893,452,-183,49.0,218.8,466.8,-384,-181,344,2
-1998,-1752,1013,-188.6,223.7,378.2,-296,-32,403,2
-1413,-1998,1592,15.5,31.5,113.1,-228,40,408,2
-1138,-1998,-146,-95.8,-19.3,-164.9,-251,44,375,2
1281,1009,-141,492.0,-71.8,-262.8,-326,-63,388,2
-723,-1832,-403,-35.4,-70.7,-214.2,-365,-138,372,2
-1491,-442,338,7.1,-53.6,-76.7,-376,-174,345,2
-1998,541,21,-11.4,-51.3,-57.1,-389,-197,326,2
-1966,1120,-654,136.0,-41.8,-97.6,-392,-223,323,2
-1937,-72,-529,-136.1,-100.8,-284.0,-399,-291,298,2
-1724,511,-1328,226.7,-72.4,-242.6,-379,-399,247,2
-1354,1879,-703,167.3,-40.0,-72.8,-353,-435,195,2
36,108,-407,-217.6,54.4,120.5,-356,-434,221,2
-252,-626,-482,-84.7,127.5,337.7,-390,-345,274,2
-919,518,-153,65.9,197.9,444.3,-387,-195,336,2
-1998,-762,947,-250.0,218.1,388.1,-317,-61,395,2
-1590,-1998,1277,-11.9,23.7,102.4,-236,43,396,2
-1783,-1998,-1491,-266.4,16.5,-231.4,-244,57,352,2
1617,1997,421,403.5,-102.4,-293.1,-327,-78,381,2
-453,-1747,-477,-24.7,-61.3,-183.2,-372,-136,353,2
-1868,-369,230,0.8,-65.0,-73.0,-387,-169,340,2
-1983,415,-120,-21.9,-59.1,-64.1,-393,-190,320,2
-1943,1407,-504,120.3,-44.9,-98.5,-395,-224,305,2
-1858,112,-388,-102.2,-107.6,-278.8,-391,-308,275,2
-1731,371,-1367,257.4,-64.3,-215.9,-366,-397,247,2
-1238,1591,-704,41.4,-21.2,-61.5,-350,-441,192,2
-106,-280,-517,-192.9,80.6,139.5,-363,-421,227,2
-232,-663,-491,8.0,148.4,348.3,-386,-316,278,2
-1243,654,57,79.0,246.7,427.4,-374,-188,347,2
-1998,-1399,1322,-232.0,245.9,362.8,-298,-42,413,2
-1419,-1998,1435,-31.2,33.6,123.4,-239,29,396,2
-1529,-1998,-943,-435.4,8.4,-355.1,-275,36,331,2
1497,1997,1242,249.6,-100.3,-248.1,-336,-93,362,2
-921,-1462,-468,59.2,-45.9,-133.1,-373,-157,335,2
-1989,-338,196,-46.0,-66.0,-55.5,-378,-184,316,2
-1952,480,-405,-11.4,-41.5,-73.4,-392,-198,304,2
-1851,1529,-133,116.5,-48.0,-119.7,-386,-245,283,2
-1903,-76,-557,-120.4,-112.2,-292.8,-388,-320,263,2
-1679,819,-1039,280.9,-81.0,-199.5,-359,-426,223,2
-989,1521,-627,-39.0,-21.9,-45.7,-342,-445,175,2
235,-267,-391,-118.5,95.6,178.0,-347,-432,204,2
-265,-163,-380,43.3,166.3,367.8,-381,-341,251,2
-1536,719,3,39.0,261.7,449.8,-379,-197,325,2
-1998,-1848,1063,-237.9,232.0,381.0,-305,-14,396,2
