X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-952,-178,-239,0.9,-1.8,0.4,-317,-303,85,0
-952,-177,-238,1.1,-1.7,0.4,-317,-293,89,0
-951,-180,-239,0.9,-1.8,0.3,-321,-311,79,0
-951,-178,-237,1.1,-1.7,0.4,-320,-310,82,0
-951,-179,-238,1.2,-1.6,0.5,-326,-303,90,0
-952,-180,-240,1.1,-1.6,0.5,-327,-302,79,0
-952,-175,-239,1.1,-1.8,0.2,-327,-299,91,0
-952,-181,-240,0.9,-1.8,0.1,-323,-308,88,0
-951,-180,-237,0.9,-2.0,0.1,-322,-299,86,0
-950,-180,-238,1.0,-2.0,0.4,-324,-303,84,0
-951,-179,-236,0.9,-1.8,0.6,-324,-304,90,0
-951,-182,-238,1.3,-1.6,0.9,-319,-298,94,0
-951,-178,-237,1.1,-1.4,1.0,-318,-302,83,0
-953,-175,-240,1.6,-1.4,0.5,-315,-292,84,0
-952,-179,-240,0.5,-1.5,0.2,-320,-305,87,0
-950,-178,-240,1.6,-1.4,0.5,-319,-303,92,0
-949,-179,-241,1.1,-1.4,0.4,-315,-303,88,0
-952,-179,-240,1.4,-1.1,0.3,-325,-301,92,0
-950,-178,-240,1.3,-1.2,0.2,-321,-302,89,0
-953,-179,-244,0.9,-1.4,0.2,-324,-300,91,0
-951,-180,-242,0.9,-1.9,0.2,-321,-292,94,0
-950,-180,-243,0.9,-2.4,0.7,-322,-305,96,0
-952,-179,-240,1.2,-2.5,0.7,-323,-300,100,0
-950,-180,-237,1.0,-2.3,0.4,-320,-305,99,0
-950,-178,-236,1.2,-1.9,0.3,-326,-301,93,0
-950,-182,-237,1.2,-1.4,0.4,-324,-303,90,0
-951,-177,-241,1.2,-1.2,0.4,-324,-296,85,0
-951,-179,-243,1.0,-1.5,0.2,-320,-303,81,0
-950,-180,-242,0.9,-1.9,0.2,-315,-301,95,0
-950,-182,-239,0.9,-2.1,0.6,-325,-302,99,0
-950,-180,-238,1.3,-1.9,0.8,-314,-301,94,0
-951,-177,-238,1.1,-1.6,0.5,-323,-306,85,0
-951,-179,-240,1.5,-1.4,0.3,-320,-298,84,0
-951,-180,-242,1.0,-1.4,0.2,-319,-306,80,0
-951,-181,-241,1.1,-1.6,0.4,-320,-299,79,0
-951,-179,-242,1.0,-1.8,0.4,-320,-305,85,0
-951,-181,-241,0.9,-2.0,0.5,-317,-298,93,0
-950,-177,-239,1.3,-1.8,0.4,-317,-303,82,0
-951,-181,-240,1.1,-1.7,0.4,-325,-299,92,0
-951,-179,-240,1.1,-1.7,0.4,-323,-308,107,0
-950,-180,-240,1.1,-1.8,0.4,-318,-299,93,0
-950,-181,-240,0.9,-2.0,0.5,-313,-301,80,0
-951,-179,-239,1.1,-1.9,0.6,-318,-305,95,0
-950,-179,-238,1.2,-1.6,0.5,-320,-294,91,0
-951,-178,-239,1.1,-1.4,0.3,-317,-310,84,0
-951,-179,-241,1.3,-1.4,0.3,-322,-299,93,0
-951,-180,-241,1.1,-1.6,0.4,-320,-301,91,0
-951,-181,-242,0.9,-1.8,0.6,-324,-300,76,0
-951,-179,-241,1.0,-1.9,0.7,-315,-308,85,0
-951,-177,-241,1.1,-1.8,0.5,-315,-301,94,0
-951,-180,-241,0.9,-1.8,0.2,-317,-301,96,0
-951,-181,-240,1.1,-1.8,0.4,-321,-303,100,0
-951,-181,-240,1.0,-2.1,0.6,-325,-309,86,0
-951,-180,-241,1.1,-2.1,0.5,-325,-306,91,0
-950,-180,-239,0.9,-2.2,0.3,-316,-294,100,0
-951,-178,-238,1.4,-1.9,0.2,-324,-296,76,0
-950,-181,-237,0.9,-1.6,0.4,-329,-306,85,0
-951,-178,-238,1.3,-1.4,0.6,-330,-300,86,0
-951,-181,-240,1.3,-1.1,0.8,-325,-298,87,0
-951,-177,-238,0.9,-1.1,0.8,-320,-298,80,0
-951,-179,-242,1.4,-1.3,0.8,-321,-302,90,0
-951,-179,-244,0.9,-1.7,0.7,-317,-303,93,0
-951,-176,-242,0.9,-2.1,0.4,-315,-294,90,0
-950,-181,-237,1.6,-1.8,0.7,-318,-300,92,0
-950,-176,-237,1.0,-1.1,0.6,-328,-302,92,0
-952,-175,-239,1.5,-0.8,0.5,-321,-301,96,0
-952,-174,-244,0.6,-1.0,0.1,-322,-298,95,0
-952,-178,-248,-0.2,-1.9,-0.2,-318,-302,90,0
-950,-182,-246,0.4,-2.5,0.0,-320,-309,88,0
-950,-181,-239,0.6,-2.4,0.6,-324,-300,94,0
-951,-177,-238,0.4,-2.1,0.6,-322,-301,81,0
-951,-177,-241,0.9,-1.8,0.4,-324,-290,82,0
-949,-178,-243,0.7,-1.7,0.0,-323,-306,88,0
-951,-178,-242,1.1,-1.8,0.2,-320,-306,84,0
-950,-181,-243,0.7,-2.1,0.3,-329,-304,87,0
-950,-180,-240,1.0,-2.2,0.6,-324,-301,81,0
-950,-178,-238,0.9,-1.9,0.6,-324,-303,86,0
-952,-178,-240,1.1,-1.8,0.4,-327,-307,85,0
-950,-180,-240,1.3,-1.6,0.3,-327,-305,79,0
-951,-179,-241,0.9,-1.4,0.4,-324,-302,77,0
-950,-179,-242,1.4,-1.6,0.5,-321,-305,93,0
-951,-178,-241,1.0,-1.7,0.5,-325,-300,95,0
-951,-178,-239,1.2,-1.7,0.4,-319,-302,83,0
-950,-181,-240,0.9,-1.4,0.4,-326,-305,90,0
