X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1694,62,334,61.1,-69.0,-93.6,-229,-174,63,3
-1117,-500,-70,-41.5,-36.7,-100.3,-257,-181,35,3
-1277,-423,30,23.6,-27.5,-61.3,-269,-181,19,3
-825,-230,98,36.1,-11.2,-0.9,-290,-174,26,3
-395,-188,2,0.7,11.8,48.7,-301,-168,24,3
67,59,-97,-15.1,35.7,103.6,-289,-137,41,3
139,113,115,-19.6,41.0,130.1,-277,-94,53,3
563,536,364,70.5,2.8,167.7,-263,-101,58,3
-605,-859,-368,-282.8,71.8,31.1,-242,-71,46,3
-440,-1150,501,132.8,25.5,74.2,-204,-37,75,3
-628,-134,254,39.6,34.6,54.3,-189,-41,93,3
-1602,-1308,67,-54.1,30.0,9.3,-187,-51,122,3
-1953,-590,-26,153.0,4.6,-5.8,-183,-51,168,3
-1801,300,-28,77.1,-29.1,-46.0,-190,-70,157,3
-1528,67,-319,-33.6,-27.7,-84.1,-208,-104,135,3
-1492,-714,-404,-136.9,-46.0,-158.5,-214,-130,116,3
-1754,-66,-239,83.1,-53.6,-114.1,-232,-147,94,3
-1734,27,140,-74.2,-55.3,-128.3,-249,-187,58,3
-1382,-693,-127,-50.2,-21.2,-104.4,-253,-201,47,3
-1170,-364,5,42.0,-15.1,-50.8,-280,-209,26,3
-739,-241,63,27.3,1.8,3.9,-300,-203,39,3
-270,-103,77,6.7,19.1,68.9,-308,-181,50,3
-34,54,-87,-35.4,37.1,115.2,-311,-146,60,3
95,6,-9,-26.4,32.9,134.7,-292,-105,72,3
559,409,268,68.7,2.5,158.2,-275,-106,58,3
-483,-1094,-653,-161.9,50.8,82.1,-242,-64,69,3
-896,-625,364,102.0,24.5,66.7,-216,-37,91,3
-902,-526,299,-26.3,26.1,44.5,-185,-39,115,3
-1294,-1274,-15,9.6,8.1,29.0,-182,-33,157,3
-1824,-163,6,163.8,-18.2,11.6,-171,-59,161,3
-1735,115,27,-6.2,-31.9,-44.7,-189,-74,147,3
-1536,-87,-319,-50.6,-30.3,-80.7,-196,-108,122,3
-1586,-624,-338,-51.3,-61.9,-115.9,-208,-122,113,3
-1780,139,-101,35.0,-52.9,-116.3,-221,-150,100,3
-1535,-285,-145,-95.2,-34.7,-143.6,-240,-177,60,3
-1564,-481,39,2.2,-18.3,-92.8,-252,-196,50,3
-1090,-395,-16,14.9,-4.4,-57.4,-286,-202,59,3
-769,-344,-23,12.1,6.4,-10.4,-305,-197,63,3
-442,-280,46,0.1,23.5,46.9,-317,-186,66,3
-67,61,-106,-2.5,31.0,103.0,-321,-156,72,3
81,117,-88,-53.4,33.7,117.1,-301,-123,69,3
225,257,448,61.5,-6.6,159.9,-282,-97,59,3
-481,-962,-471,-214.6,56.4,59.1,-252,-79,68,3
-680,-958,558,105.2,13.9,91.1,-217,-51,87,3
-620,-354,307,30.3,12.0,69.9,-196,-35,100,3
-1278,-915,-36,-21.2,12.5,39.1,-183,-40,116,3
-1578,-567,48,70.8,-3.0,13.3,-176,-40,147,3
-1978,-42,15,74.1,-15.2,-22.1,-180,-57,171,3
-1738,204,-200,-6.5,-25.4,-69.3,-193,-80,164,3
-1998,-299,53,-124.3,-19.6,-145.8,-210,-110,142,3
-1936,-194,-252,55.6,-32.0,-126.1,-216,-131,126,3
-1775,338,68,40.6,-45.7,-111.0,-238,-157,111,3
-1265,-454,13,-54.1,-28.0,-100.5,-248,-181,70,3
-1104,-639,-128,2.0,-17.2,-78.9,-279,-189,71,3
-995,-184,7,48.2,-4.7,-32.9,-298,-190,76,3
-673,-192,38,-22.8,15.1,7.7,-318,-194,69,3
-286,-316,-45,-43.8,27.0,67.4,-330,-164,86,3
-20,-9,-123,12.1,34.0,118.0,-319,-137,96,3
49,218,2,4.6,30.5,123.7,-289,-88,110,3
-52,425,352,51.0,12.8,154.4,-271,-89,83,3
-262,-1599,-387,-180.8,42.4,85.8,-243,-49,102,3
-985,-556,354,132.4,15.6,66.5,-217,-35,116,3
-889,-323,221,0.7,17.5,49.6,-201,-33,125,3
-1394,-1005,-89,-12.9,1.1,29.4,-187,-42,155,3
-1825,-404,-3,96.1,-21.4,-3.9,-185,-50,173,3
-1794,155,-35,33.8,-41.9,-44.8,-188,-66,165,3
-1501,154,-169,-48.1,-34.1,-82.3,-199,-98,143,3
-1410,-635,-368,-90.3,-55.7,-136.0,-213,-117,121,3
-1677,-63,-279,51.5,-50.1,-120.1,-218,-133,105,3
-1752,89,78,-4.5,-49.7,-118.7,-234,-175,78,3
-1250,-536,-90,-57.4,-26.4,-108.0,-257,-183,63,3
-1218,-472,-52,26.4,-15.4,-67.2,-279,-185,44,3
-950,-274,104,36.1,-9.3,0.2,-294,-181,54,3
-309,-309,-62,-1.6,16.8,38.9,-312,-176,55,3
-145,64,-121,-8.6,34.4,91.2,-316,-146,73,3
79,214,106,-16.1,35.4,125.0,-306,-116,78,3
346,268,195,-13.8,13.9,148.1,-268,-77,82,3
-593,-444,533,-88.5,41.6,94.2,-257,-79,59,3
13,-1383,63,55.4,6.6,109.6,-221,-40,98,3
-987,-103,241,59.6,23.5,74.5,-205,-36,104,3
-1382,-982,-2,-61.8,22.5,29.1,-188,-28,131,3
-1618,-608,-151,140.0,-8.6,11.4,-176,-33,163,3
-1858,302,26,72.3,-31.5,-37.7,-188,-58,185,3
-1670,107,-293,-49.3,-33.4,-85.0,-204,-99,151,3
-1998,-691,-199,-135.3,-36.3,-160.2,-213,-126,127,3
-1831,-93,-375,78.1,-52.9,-132.0,-227,-142,105,3
-1794,421,349,15.2,-67.6,-112.5,-232,-174,61,3
-1100,-791,-328,-113.4,-28.4,-109.4,-255,-191,39,3
-1321,-593,-27,71.0,-33.8,-56.9,-270,-196,25,3
-807,-5,63,39.7,-13.7,0.5,-296,-189,37,3
-305,-238,59,-33.3,11.8,53.4,-303,-168,38,3
131,125,-87,4.2,34.3,120.6,-296,-135,57,3
335,431,148,-21.4,34.1,141.2,-278,-95,67,3
90,131,156,-35.5,34.3,139.5,-260,-106,43,3
-158,-1448,-125,-62.6,40.6,107.1,-234,-56,75,3
-701,-576,275,52.9,36.4,84.9,-202,-37,90,3
-1178,-635,223,-56.6,40.1,25.9,-188,-33,118,3
-1863,-922,75,90.4,19.9,17.2,-176,-27,152,3
-1793,100,120,109.2,-18.2,-8.1,-178,-50,158,3
-1705,-199,-102,-50.2,-26.6,-72.8,-197,-75,143,3
-1998,-176,223,-40.8,-40.5,-106.8,-209,-110,137,3
-1582,-322,-210,46.6,-61.2,-126.9,-221,-128,118,3
-1314,352,139,41.4,-72.1,-113.1,-225,-158,80,3
-1274,-394,-86,-93.1,-43.0,-126.9,-238,-191,45,3
-1295,-620,-29,36.1,-28.4,-76.7,-268,-199,24,3
-939,-244,103,34.4,-13.4,-27.3,-286,-197,32,3
-340,-300,103,13.0,12.1,32.6,-299,-190,47,3
-87,245,-93,14.7,44.9,98.8,-310,-159,57,3
144,160,36,-40.6,49.9,132.8,-300,-133,68,3
405,314,288,40.7,9.0,174.3,-272,-94,55,3
-441,-554,71,-165.4,54.1,80.6,-245,-76,67,3
-62,-1243,107,115.4,17.0,97.9,-215,-42,87,3
-819,-332,228,59.9,12.0,74.5,-193,-43,101,3
-1433,-1170,-90,-36.6,16.8,24.4,-175,-44,136,3
-1905,-309,17,150.0,-9.8,3.7,-168,-46,155,3
-1817,142,110,-7.2,-28.9,-46.4,-187,-66,161,3
-1730,-115,-224,-42.7,-28.9,-83.7,-196,-108,134,3
-1554,-540,-425,-66.4,-58.0,-144.7,-214,-133,111,3
-1724,179,-152,46.9,-52.9,-122.8,-223,-158,87,3
-1734,-220,98,-76.8,-55.1,-134.0,-236,-183,57,3
-1479,-613,-156,-21.4,-30.3,-103.3,-259,-199,41,3
-1037,-191,16,47.9,-24.5,-47.5,-272,-194,24,3
-786,-316,125,3.3,0.0,2.1,-299,-192,33,3
-81,-155,8,0.0,22.0,64.7,-301,-175,45,3
-2,254,-94,-26.8,40.1,114.1,-313,-145,52,3
199,33,12,-56.2,40.6,128.3,-286,-98,67,3
523,379,162,79.6,5.5,175.5,-263,-98,55,3
-590,-1367,-476,-178.8,55.5,71.5,-237,-61,54,3
-845,-575,400,101.7,31.0,61.9,-204,-41,100,3
-1182,-607,190,-20.5,36.1,38.7,-189,-47,108,3
-1477,-1134,-57,46.9,14.1,15.6,-181,-40,149,3
-1998,-66,30,107.4,-12.4,-17.9,-194,-46,149,3
-1868,55,-236,-3.9,-34.6,-60.4,-196,-76,157,3
-1998,7,405,-24.7,-37.6,-95.9,-207,-104,135,3
-1414,-305,-154,23.7,-50.2,-119.2,-210,-125,117,3
-1422,146,21,21.0,-61.0,-113.0,-222,-164,85,3
-1275,-282,-115,-42.2,-40.3,-108.4,-241,-182,52,3
-1217,-377,186,1.1,-31.0,-69.5,-273,-196,36,3
-821,-499,-30,0.8,-4.6,-29.1,-284,-195,40,3
-746,-299,-19,8.1,12.7,23.3,-313,-188,47,3
-129,-300,-36,-4.2,22.1,68.9,-309,-154,61,3
186,209,-49,62.5,29.7,126.7,-297,-110,71,3
372,750,176,45.2,5.1,162.5,-271,-89,58,3
-522,99,343,-304.0,54.2,59.7,-249,-88,44,3
-74,-1748,260,36.1,-0.3,107.8,-215,-48,74,3
