X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1000,-50,-18,0.7,-2.3,0.0,-296,-300,-11,0
-1000,-54,-20,1.4,-2.5,0.2,-294,-307,-25,0
-1001,-58,-22,1.0,-1.9,0.7,-297,-290,-31,0
-997,-65,-14,2.2,-1.5,1.6,-299,-300,-9,0
-999,-47,-22,0.3,-1.8,0.7,-298,-295,-22,0
-1002,-57,-23,2.7,-2.5,1.1,-300,-295,-17,0
-1000,-47,-22,0.2,-2.5,0.5,-300,-299,-25,0
-1000,-53,-16,1.0,-3.0,0.4,-299,-310,-25,0
-1001,-45,-20,0.1,-2.8,0.1,-299,-302,-18,0
-1001,-55,-16,1.1,-2.5,0.4,-300,-304,-17,0
-999,-51,-15,0.4,-2.2,0.3,-299,-297,-10,0
-997,-62,-12,2.9,-1.8,1.3,-299,-303,-23,0
-995,-54,-14,1.8,-0.7,1.6,-296,-304,-20,0
-999,-55,-11,1.2,-0.3,1.4,-298,-299,-14,0
-996,-41,-19,0.5,-1.6,-0.2,-299,-300,-16,0
-1005,-48,-23,-0.3,-1.4,-1.4,-304,-299,-35,0
-987,-52,-15,0.7,-1.3,-1.1,-295,-296,-24,0
-1001,-56,-27,0.2,-1.6,-1.8,-296,-306,-11,0
-1002,-54,-17,0.0,-2.0,-1.8,-301,-305,-14,0
-998,-58,-26,0.7,-2.5,-1.8,-295,-308,-25,0
-1002,-65,-22,1.8,-2.6,-0.8,-299,-303,-22,0
-1000,-68,-22,1.6,-3.2,-0.2,-304,-306,-22,0
-998,-65,-21,1.4,-3.1,0.2,-299,-299,-13,0
-997,-64,-14,2.1,-3.1,0.4,-294,-304,-18,0
-999,-60,-16,1.4,-2.6,0.2,-297,-307,-8,0
-1000,-62,-10,1.2,-1.6,0.7,-297,-303,-24,0
-999,-69,-15,2.5,-1.5,1.1,-301,-304,-24,0
-1000,-53,-8,1.3,-1.4,0.9,-299,-300,-10,0
-998,-59,-19,0.7,-1.6,0.4,-301,-297,-24,0
-999,-58,-16,0.0,-2.1,-0.2,-301,-308,-20,0
-1004,-50,-16,1.4,-2.1,0.0,-303,-309,-29,0
-1000,-65,-19,1.0,-1.5,0.2,-298,-299,-21,0
-1000,-65,-12,1.8,-0.9,1.4,-294,-308,-19,0
-1002,-57,-14,1.8,-0.8,1.7,-299,-299,-29,0
-999,-57,-20,1.0,-1.6,0.8,-301,-309,-19,0
-996,-52,-21,0.9,-2.1,0.7,-298,-303,-25,0
-996,-69,-22,0.7,-2.5,0.0,-296,-304,-11,0
-998,-55,-13,0.7,-2.3,0.2,-294,-306,-25,0
-997,-62,-17,0.9,-2.3,0.3,-297,-302,-29,0
-997,-62,-20,1.0,-2.6,-0.1,-292,-306,-16,0
-998,-62,-17,1.4,-2.8,-0.4,-302,-307,-26,0
-1003,-57,-19,1.8,-2.3,0.0,-293,-299,-22,0
-999,-65,-12,1.6,-1.4,1.0,-292,-310,-23,0
-996,-66,-15,0.9,-1.0,1.1,-297,-308,-10,0
-1000,-61,-15,1.4,-1.1,1.1,-305,-306,-29,0
-1001,-58,-20,0.7,-1.6,0.7,-294,-306,-18,0
-1000,-62,-17,1.1,-1.6,0.9,-293,-307,-24,0
-997,-58,-19,0.3,-1.8,0.4,-291,-302,-29,0
-999,-71,-17,0.9,-1.6,0.7,-294,-303,-18,0
-998,-56,-17,0.8,-2.0,0.4,-301,-301,-28,0
-998,-61,-20,0.9,-2.0,0.3,-294,-307,-29,0
-999,-57,-15,0.7,-2.1,0.2,-294,-310,-20,0
-998,-60,-19,0.8,-2.2,0.2,-297,-304,-25,0
-1000,-62,-15,1.1,-1.6,0.7,-305,-308,-22,0
-997,-59,-18,1.4,-1.8,0.9,-300,-306,-29,0
-998,-60,-17,0.7,-1.7,0.6,-295,-309,-16,0
-1001,-59,-19,1.1,-1.8,0.7,-308,-308,-22,0
-998,-59,-20,1.1,-1.6,0.9,-297,-309,-28,0
-998,-61,-16,0.5,-1.4,1.0,-310,-307,-17,0
-999,-64,-22,1.1,-1.4,1.1,-298,-303,-19,0
-996,-54,-18,1.0,-1.8,0.4,-292,-297,-31,0
-1002,-55,-24,1.3,-2.1,0.2,-291,-295,-22,0
-999,-58,-18,1.1,-2.0,0.3,-303,-297,-20,0
-998,-60,-21,1.0,-2.0,0.2,-310,-296,-19,0
-1000,-59,-19,1.2,-2.0,0.4,-300,-304,-15,0
-998,-57,-20,1.4,-2.0,0.5,-303,-304,-24,0
-999,-60,-20,1.4,-1.7,0.6,-298,-308,-20,0
-999,-53,-15,1.6,-1.6,0.9,-296,-307,-17,0
-999,-54,-22,1.1,-1.7,0.7,-302,-302,-20,0
-999,-58,-21,1.0,-1.8,0.5,-301,-301,-16,0
-1000,-57,-21,1.0,-1.9,0.6,-303,-306,-30,0
-1000,-58,-22,1.1,-1.6,0.8,-298,-302,-27,0
-999,-61,-19,0.9,-1.6,0.9,-307,-303,-20,0
-1000,-55,-23,0.9,-1.8,0.7,-303,-306,-14,0
-999,-56,-22,1.0,-2.0,0.4,-302,-311,-22,0
-999,-59,-22,0.7,-1.8,0.4,-301,-304,-19,0
-999,-56,-20,1.0,-1.8,0.8,-304,-306,-4,0
-999,-55,-21,0.9,-1.9,0.4,-293,-304,-20,0
-1003,-52,-22,1.2,-1.9,0.5,-304,-298,-23,0
-999,-55,-22,1.1,-2.0,0.5,-295,-305,-23,0
-997,-59,-21,0.8,-2.0,0.4,-303,-306,-19,0
-999,-56,-21,1.0,-1.8,0.4,-299,-310,-29,0
-999,-55,-22,1.1,-1.7,0.5,-301,-306,-22,0
-1000,-57,-19,0.9,-1.8,0.4,-294,-303,-16,0
-998,-57,-22,1.0,-1.8,0.4,-296,-302,-23,0
-999,-55,-22,1.3,-2.0,0.4,-300,-306,-5,0
-1000,-54,-23,1.2,-1.9,0.4,-290,-301,-11,0
-999,-57,-22,0.6,-1.6,0.6,-295,-300,-15,0
-997,-64,-22,1.1,-1.7,0.7,-294,-307,-12,0
-999,-54,-22,1.4,-1.7,0.7,-299,-312,-10,0
-998,-55,-21,0.8,-2.0,0.4,-301,-308,-18,0
-997,-62,-25,0.9,-2.1,0.2,-303,-311,-7,0
-1001,-52,-21,1.3,-1.8,0.7,-299,-299,-5,0
-996,-61,-23,0.8,-2.0,0.3,-300,-301,-12,0
-1000,-56,-22,1.1,-1.6,0.6,-300,-294,-16,0
-999,-56,-22,1.0,-1.6,0.7,-302,-305,-17,0
-999,-57,-21,1.3,-1.4,0.9,-301,-305,-11,0
-999,-51,-23,1.4,-1.6,0.8,-294,-302,-11,0
-998,-54,-23,1.1,-1.8,0.5,-302,-304,0,0
-1000,-56,-24,1.3,-2.1,0.2,-299,-299,-13,0
-1000,-53,-23,1.0,-2.0,0.3,-298,-300,-7,0
-999,-58,-22,1.1,-1.9,0.3,-304,-305,0,0
-997,-58,-23,0.9,-1.8,0.5,-300,-309,-12,0
-996,-59,-22,1.4,-1.9,0.4,-298,-302,-4,0
-1001,-51,-23,1.5,-1.8,0.7,-309,-308,-6,0
-998,-52,-24,1.2,-2.1,0.4,-294,-296,-2,0
-999,-51,-22,1.2,-2.3,0.1,-299,-309,3,0
-1000,-52,-21,1.1,-2.3,0.2,-301,-308,-8,0
-999,-59,-25,1.2,-2.3,0.2,-301,-305,-5,0
-999,-52,-23,1.7,-2.8,-0.5,-306,-301,-23,0
-1001,-52,-16,1.2,-2.1,0.5,-302,-296,-23,0
-996,-66,-19,1.1,-1.9,0.2,-299,-301,-14,0
-1004,-50,-21,1.6,-2.3,0.2,-294,-303,-14,0
-1000,-60,-18,1.2,-2.1,0.4,-289,-299,-11,0
-998,-59,-19,0.9,-1.9,0.6,-297,-308,-15,0
-997,-55,-22,1.1,-2.1,0.7,-292,-307,-20,0
-1002,-54,-20,0.9,-2.1,0.6,-303,-300,-4,0
-996,-57,-22,1.4,-2.3,0.2,-296,-307,-16,0
-998,-51,-19,1.4,-2.5,0.1,-295,-296,-7,0
-1000,-54,-23,0.7,-2.5,-0.2,-299,-301,-23,0
-1000,-62,-20,1.3,-2.4,0.1,-305,-304,-25,0
-998,-57,-20,1.4,-2.1,0.2,-294,-300,-28,0
-998,-51,-16,2.1,-1.2,1.5,-295,-302,-17,0
-995,-57,-14,2.5,-1.4,1.4,-298,-293,-12,0
-998,-59,-20,2.2,-1.6,1.6,-298,-298,-5,0
-1000,-60,-19,0.9,-2.0,0.7,-290,-301,-15,0
-1001,-51,-21,0.0,-2.0,0.2,-299,-310,-16,0
-1000,-55,-16,1.0,-1.5,0.7,-293,-305,-16,0
-998,-48,-16,1.0,-1.6,0.7,-298,-297,-21,0
-999,-55,-22,1.0,-1.6,0.6,-295,-313,-25,0
-1000,-54,-22,1.1,-1.8,0.4,-299,-308,-13,0
-998,-54,-16,1.2,-1.6,0.6,-300,-295,-20,0
-1000,-51,-18,0.6,-1.7,0.3,-298,-300,-28,0
-1000,-53,-22,0.3,-2.0,0.0,-303,-298,-20,0
-999,-55,-21,0.7,-2.1,0.0,-301,-293,-21,0
-998,-53,-20,0.9,-1.9,0.2,-301,-303,-14,0
-998,-55,-19,0.3,-1.6,0.0,-297,-307,-21,0
-1001,-55,-22,0.7,-1.7,0.4,-300,-306,-5,0
-1001,-53,-22,1.0,-2.1,0.2,-306,-303,-2,0
-999,-55,-22,0.6,-2.0,0.2,-296,-302,-10,0
-1002,-56,-19,1.0,-1.9,0.4,-292,-296,-10,0
-999,-52,-22,1.4,-2.0,0.4,-297,-306,-15,0
-999,-55,-21,1.1,-2.0,0.4,-300,-306,-23,0
-1001,-56,-22,1.3,-2.2,0.2,-295,-298,-9,0
-999,-49,-18,1.1,-2.1,0.4,-297,-301,-15,0
-996,-56,-20,0.9,-2.2,0.4,-298,-302,-11,0
-1001,-59,-22,1.0,-2.3,0.1,-294,-305,-15,0
-1000,-53,-20,1.0,-2.1,0.4,-300,-308,-9,0
-997,-58,-18,0.9,-2.1,0.4,-302,-302,-14,0
-998,-59,-21,0.9,-2.1,0.3,-301,-302,-15,0
-998,-59,-18,1.5,-2.1,0.3,-301,-307,-7,0
-998,-57,-20,1.3,-2.1,0.4,-298,-300,-6,0
-998,-60,-18,0.9,-1.8,0.4,-303,-303,-20,0
-999,-55,-18,1.1,-1.9,0.4,-297,-308,-18,0
-999,-56,-17,1.3,-2.0,0.5,-296,-304,-18,0
-999,-58,-22,1.0,-2.4,0.0,-295,-305,-23,0
-1002,-54,-22,1.4,-2.1,0.2,-294,-302,-16,0
-1001,-54,-17,1.1,-2.2,0.1,-290,-306,-18,0
-998,-57,-16,0.7,-1.9,0.1,-294,-304,-6,0
-998,-58,-20,1.0,-1.9,0.2,-302,-304,-12,0
-998,-62,-15,0.7,-1.8,0.3,-296,-304,-14,0
-1000,-58,-22,0.7,-1.9,0.2,-291,-306,-23,0
-1000,-49,-17,1.2,-2.0,0.2,-298,-302,-25,0
-996,-61,-18,1.1,-2.0,0.3,-304,-306,-11,0
-1000,-56,-18,0.8,-1.8,0.2,-300,-306,-29,0
-1001,-61,-17,1.3,-1.8,0.7,-299,-309,-26,0
-999,-57,-16,0.7,-1.6,0.7,-295,-306,-13,0
-999,-58,-19,1.5,-1.8,0.8,-294,-300,-10,0
-999,-53,-17,1.1,-1.8,0.4,-302,-302,-24,0
-999,-61,-18,0.6,-2.0,0.2,-301,-302,-20,0
-1003,-54,-16,1.2,-2.1,0.3,-294,-297,0,0
-999,-57,-20,1.1,-2.1,0.4,-299,-303,-25,0
-997,-53,-15,1.0,-2.0,0.4,-301,-298,-19,0
-999,-60,-22,1.1,-2.0,0.4,-305,-302,-22,0
-1001,-59,-17,1.1,-1.8,0.4,-303,-295,-14,0
-999,-59,-19,1.2,-1.8,0.5,-296,-304,-20,0
-1001,-58,-17,1.3,-1.7,0.6,-296,-294,-24,0
-999,-58,-16,1.4,-1.8,0.6,-289,-296,-21,0
-1000,-53,-19,1.2,-1.6,0.7,-298,-296,-13,0
-1000,-58,-19,0.7,-1.8,0.3,-300,-304,-14,0
-1001,-59,-20,1.1,-2.0,0.3,-304,-296,-7,0
-1001,-55,-20,1.3,-2.0,0.5,-303,-294,-8,0
-1000,-57,-21,0.9,-2.1,0.3,-299,-301,-28,0
-1000,-55,-19,1.5,-2.3,0.3,-300,-305,-22,0
-1000,-52,-19,1.0,-1.9,0.4,-301,-300,-18,0
-999,-62,-19,0.9,-1.8,0.5,-306,-301,-14,0
-999,-56,-18,1.2,-1.8,0.5,-301,-305,-15,0
-997,-57,-18,1.1,-1.8,0.6,-296,-304,-13,0
-1000,-61,-19,1.4,-1.8,0.5,-308,-306,-8,0
-1000,-52,-18,1.0,-1.8,0.4,-300,-298,-11,0
-998,-63,-21,0.9,-1.7,0.5,-298,-308,-12,0
-1002,-56,-20,0.9,-1.8,0.5,-303,-305,-30,0
-999,-57,-19,0.9,-1.9,0.4,-299,-300,-21,0
-1000,-59,-20,1.0,-2.0,0.4,-306,-300,-19,0
-999,-60,-21,0.9,-2.1,0.1,-296,-294,-25,0
-1000,-52,-17,0.7,-1.8,0.3,-303,-311,-14,0
-998,-62,-19,1.5,-1.5,1.0,-299,-304,-14,0
-1000,-58,-19,1.1,-1.6,0.8,-296,-310,-16,0
-1000,-55,-18,1.3,-1.9,0.7,-302,-301,-15,0
-999,-63,-25,0.7,-2.1,0.1,-294,-305,-26,0
-1000,-51,-18,1.1,-2.1,0.1,-308,-306,-13,0
-997,-54,-20,0.9,-2.0,0.3,-303,-296,-16,0
-1000,-62,-20,1.4,-1.8,0.6,-294,-304,-15,0
-998,-57,-19,1.0,-2.1,0.2,-296,-304,-15,0
-1001,-55,-19,1.0,-2.0,0.3,-296,-304,-18,0
-1000,-60,-19,1.3,-2.1,0.2,-295,-303,-21,0
-1000,-51,-16,1.2,-1.9,0.2,-297,-306,-18,0
-996,-60,-19,1.1,-1.9,0.4,-301,-296,-14,0
-998,-61,-20,1.0,-2.0,0.2,-297,-304,-18,0
-998,-54,-17,1.1,-1.8,0.2,-301,-306,-26,0
-999,-52,-17,1.4,-2.0,0.2,-306,-300,-21,0
-1000,-56,-21,1.1,-1.9,0.3,-303,-306,-34,0
-998,-61,-16,0.9,-1.6,0.4,-296,-298,-38,0
-998,-56,-19,1.3,-1.9,0.5,-297,-300,-23,0
-998,-58,-15,1.3,-1.8,0.5,-295,-301,-22,0
-1002,-57,-22,1.1,-1.5,0.6,-303,-304,-21,0
-1000,-63,-17,0.7,-1.4,0.6,-301,-303,-22,0
-999,-54,-18,1.2,-1.6,0.4,-295,-308,-28,0
-999,-56,-20,1.5,-1.6,0.7,-304,-303,-29,0
-997,-55,-17,1.1,-1.6,0.4,-300,-299,-22,0
-1001,-55,-22,0.9,-1.6,0.4,-304,-300,-9,0
-999,-57,-20,0.8,-1.6,0.2,-289,-304,-30,0
-999,-57,-19,1.2,-1.9,0.3,-296,-302,-32,0
-998,-57,-22,1.1,-1.9,0.2,-312,-310,-12,0
-999,-59,-22,1.3,-2.1,0.3,-301,-305,-13,0
-999,-62,-22,0.9,-2.0,0.2,-289,-314,-30,0
-999,-62,-23,0.7,-1.9,0.3,-305,-306,-24,0
-998,-62,-21,1.5,-1.9,0.5,-300,-310,-16,0
-1000,-55,-19,1.3,-1.8,0.6,-293,-318,-10,0
-1001,-55,-22,1.4,-2.0,0.4,-296,-305,-10,0
-999,-59,-22,1.2,-1.9,0.4,-296,-306,-11,0
-998,-61,-20,1.1,-1.8,0.5,-296,-315,-13,0
-998,-59,-20,1.2,-1.7,0.7,-304,-303,-18,0
-999,-55,-20,0.8,-1.6,0.9,-294,-310,-11,0
-997,-58,-20,0.9,-1.9,0.5,-302,-308,-20,0
-1003,-51,-27,0.3,-2.4,-0.3,-303,-309,-19,0
-997,-60,-18,1.0,-1.8,0.6,-299,-310,-24,0
-997,-59,-19,0.7,-1.7,0.3,-305,-307,-15,0
-1000,-60,-23,1.4,-1.5,0.7,-306,-308,-8,0
-997,-60,-19,1.7,-1.8,0.4,-294,-307,-23,0
-999,-53,-22,0.7,-1.6,0.5,-304,-310,-19,0
-997,-63,-21,1.1,-1.5,0.7,-294,-312,-16,0
-999,-54,-23,1.4,-1.7,0.4,-300,-308,-25,0
-1001,-57,-22,0.9,-1.6,0.6,-288,-313,-37,0
-998,-58,-23,1.1,-1.7,0.5,-302,-301,-25,0
-998,-58,-21,1.1,-1.6,0.5,-299,-307,-20,0
-1000,-53,-22,0.9,-1.7,0.3,-303,-302,-19,0
-999,-59,-25,1.3,-2.0,0.3,-302,-305,-22,0
-999,-52,-24,0.9,-1.9,0.3,-298,-304,-25,0
-998,-60,-24,1.3,-1.8,0.5,-295,-304,-16,0
-999,-55,-22,1.1,-1.8,0.5,-307,-315,-12,0
-999,-60,-25,1.4,-1.8,0.8,-297,-309,-30,0
-998,-59,-25,0.9,-1.8,0.6,-306,-306,-21,0
-999,-60,-23,1.3,-1.8,0.7,-296,-307,-18,0
-999,-54,-23,0.9,-2.0,0.4,-302,-304,-19,0
-997,-60,-26,1.1,-1.9,0.5,-299,-311,-20,0
-999,-55,-23,1.4,-2.1,0.5,-297,-311,-16,0
-1000,-52,-23,1.1,-1.9,0.4,-297,-310,-27,0
-999,-57,-26,1.3,-1.9,0.7,-305,-306,-20,0
-998,-54,-21,1.1,-1.8,0.6,-303,-305,-19,0
-1000,-56,-27,1.1,-2.1,0.4,-300,-307,-21,0
-1000,-54,-21,1.1,-1.9,0.4,-300,-304,-11,0
-998,-55,-22,0.9,-2.0,0.3,-299,-309,-16,0
-1000,-56,-23,1.2,-2.0,0.4,-296,-312,-24,0
-998,-55,-23,1.1,-2.0,0.4,-297,-311,-21,0
-998,-53,-24,0.9,-1.8,0.2,-294,-307,-12,0
-999,-53,-23,1.3,-1.9,0.4,-296,-307,-23,0
-998,-56,-22,0.9,-1.7,0.4,-299,-309,-23,0
-999,-55,-22,1.1,-1.6,0.6,-306,-309,-22,0
-998,-56,-24,0.9,-1.8,0.6,-295,-311,-14,0
-1000,-53,-23,1.2,-1.7,0.7,-302,-306,-22,0
-1000,-54,-25,0.7,-1.7,0.6,-291,-313,-17,0
-999,-59,-26,1.1,-1.9,0.5,-294,-303,-20,0
-999,-54,-22,1.4,-1.9,0.5,-299,-310,-21,0
-998,-55,-27,1.2,-1.9,0.5,-299,-312,-22,0
-1001,-53,-23,1.4,-2.1,0.4,-301,-310,-20,0
-1000,-52,-23,1.5,-2.2,0.4,-298,-304,-14,0
-998,-57,-25,0.9,-2.1,0.3,-294,-311,-18,0
-997,-55,-23,1.0,-2.1,0.4,-299,-303,-2,0
-999,-52,-24,1.1,-1.9,0.6,-292,-305,-16,0
-998,-58,-24,1.0,-2.1,0.4,-299,-309,-19,0
-999,-57,-24,1.1,-2.0,0.5,-309,-308,-21,0
-998,-58,-23,0.9,-2.0,0.4,-299,-308,-29,0
-999,-56,-21,1.2,-2.0,0.4,-298,-305,-22,0
-999,-54,-22,1.3,-2.1,0.4,-294,-306,-20,0
-999,-56,-23,1.0,-1.8,0.6,-299,-306,-21,0
-998,-57,-23,0.8,-1.8,0.4,-294,-304,-12,0
-999,-57,-21,1.3,-1.9,0.6,-294,-312,-17,0
-999,-53,-25,1.4,-2.0,0.4,-301,-309,-17,0
-1000,-51,-22,0.9,-1.9,0.3,-297,-309,-20,0
-1000,-63,-19,0.9,-1.9,0.5,-297,-307,-7,0
-998,-54,-23,1.4,-1.9,0.5,-299,-301,-17,0
-1001,-54,-23,1.4,-1.8,0.4,-291,-305,-25,0
-999,-55,-23,1.1,-1.5,0.7,-298,-298,-13,0
-1000,-57,-23,1.0,-1.4,0.8,-295,-310,-19,0
-1000,-50,-24,0.8,-1.7,0.5,-303,-309,-20,0
-999,-57,-26,1.1,-1.9,0.4,-305,-308,-17,0
-1000,-53,-27,1.1,-1.8,0.4,-294,-308,-21,0
-999,-53,-21,1.1,-1.7,0.7,-308,-302,-20,0
-998,-55,-25,1.1,-1.8,0.6,-304,-305,-13,0
-999,-56,-26,0.8,-1.8,0.5,-297,-307,-18,0
-1000,-55,-22,0.7,-2.1,0.2,-303,-307,-21,0
-999,-51,-24,0.9,-2.1,0.3,-298,-308,-20,0
-999,-57,-26,0.8,-2.3,0.1,-293,-309,-27,0
-998,-55,-23,1.1,-2.1,0.2,-303,-306,-10,0
-998,-56,-23,1.2,-2.2,0.4,-296,-307,-15,0
-1000,-60,-23,1.0,-1.9,0.6,-300,-306,-24,0
-999,-56,-23,1.5,-1.5,0.9,-297,-307,-20,0
-997,-59,-24,1.1,-1.9,0.7,-303,-301,-12,0
-999,-49,-22,1.1,-1.9,0.4,-303,-308,-20,0
-1000,-49,-25,1.4,-2.3,0.1,-301,-306,-29,0
-1001,-50,-21,0.9,-2.1,0.2,-297,-313,-9,0
-999,-58,-24,1.1,-2.0,0.3,-299,-308,-23,0
-1000,-52,-19,1.1,-1.7,0.6,-299,-306,-26,0
-999,-56,-24,1.0,-1.9,0.3,-298,-310,-33,0
-999,-53,-23,1.4,-2.1,0.2,-299,-309,-21,0
-998,-54,-25,1.1,-2.1,0.2,-298,-302,-23,0
-998,-58,-24,0.8,-1.9,0.2,-303,-304,-38,0
-999,-56,-22,1.3,-1.8,0.2,-302,-299,-30,0
-999,-53,-21,1.1,-1.8,0.3,-302,-309,-22,0
-998,-55,-24,1.1,-1.8,0.3,-303,-310,-16,0
-998,-59,-23,0.9,-1.8,0.2,-301,-313,-21,0
-998,-54,-24,1.1,-1.8,0.4,-296,-310,-37,0
-997,-56,-23,1.3,-1.8,0.5,-300,-303,-22,0
-998,-55,-22,1.1,-1.7,0.4,-298,-307,-30,0
-999,-53,-22,1.6,-1.8,0.6,-306,-308,-21,0
-1000,-56,-22,1.1,-1.9,0.4,-303,-311,-19,0
-999,-55,-25,1.1,-2.0,0.2,-297,-309,-28,0
-999,-52,-24,1.0,-1.9,0.3,-302,-303,-20,0
-999,-58,-24,1.0,-1.9,0.4,-294,-309,-25,0
-998,-54,-24,1.1,-1.8,0.4,-302,-307,-22,0
-1001,-54,-24,1.6,-2.0,0.5,-292,-302,-24,0
